,nam,address,telephone,city
63,Pharmacie Normale,"Pharmacie Normale, 21, av. allal ben a... ",053770...,rabat
64,Pharmacie Arrahmane,"Pharmacie Arrahmane, groupe 20, 15 bis... ",053728...,rabat
65,Pharmacie Jnane Ennahda,"Pharmacie Jnane Ennahda, imm, 8 n°6 l... ",053775...,rabat
66,Pharmacie Al Melia,"Pharmacie Al Melia, avenue dr abdelkri... ",053775...,rabat
67,Pharmacie Tazi,"pharmacie tazi, n 11 lot. lahbabi, dok... ",053593...,fes
68,Pharmacie Fatima Fihriya,"Pharmacie Fatima Fihriya, n°167, derb... ",053574...,fes
69,Pharmacie Espace Vert,"Pharmacie Espace Vert, lotissement jna... ",060290...,fes
70,Pharmacie La Providence,"Pharmacie La Providence, n° 260 d, lo... ",053216...,fes
71,Pharmacie Mont Fleuri,"pharmacie mont fleuri, bd karama mont ... ",053564...,fes
72,Pharmacie Al Marwa,"pharmacie almarwa, lot alhadiqa 2 al o... ",053564...,fes
73,Pharmacie Sara,"Pharmacie Sara, 42, lotiss. AlGhfirat ... ",052465...,safi
74,Pharmacie Kodali,"Pharmacie Kodali, 5  centre commercial... ",052461...,safi
75,Pharmacie Sidi Bouzid,"Pharmacie Sidi Bouzid, rte de Sidi Bou... ",052466...,safi
76,Pharmacie Alimane,"Pharmacie Alimane, Jnane Zitoune , rue... ",052462...,safi
77,Pharmacie Miftah ElKheir,"Pharmacie Miftah ElKheir, lot. Najah I... ",052466...,safi
78,Pharmacie Chenguit,"Pharmacie Chenguit, 11, Lot. Rida , Si... ",052466...,safi
79,Pharmacie Laarissa,"Pharmacie Laarissa, Quartier Laarissa ... ",052465...,safi
80,Pharmacie la Vallée,"Pharmacie la Vallée, 7  bd Hassan II ... ",052462...,safi
81,Pharmacie Du Passage,"Pharmacie Du Passage, 133  rte 206   A... ",053736...,kenitra
82,Pharmacie Centrale,"Pharmacie Centrale, Pl. Chouhada, rue ... ",053737...,kenitra
83,Pharmacie Le Vallon,"Pharmacie Le Vallon, 309, hay Sayad, 2... ",053735...,kenitra
84,Pharmacie Dar Taleb,hôtel ayoub en face de la fac. de mé... ,052005...,marrakech
85,Pharmacie Alhouda,"Pharmacie Alhouda, 368  lotiss. Sidi M... ",052434...,marrakech
86,Pharmacie Sheraton,"Pharmacie Sheraton, av. mohammed vi re... ",052443...,marrakech
87,Pharmacie Chams Nakhil,"Pharmacie Chams Nakhil, lakhili arset ... ",052980...,marrakech
88,Pharmacie Miftah Al Atlas,"Pharmacie Miftah Al Atlas, lamhamid bo... ",070764...,marrakech
