,nam,address,telephone,city
63,Pharmacie Bab Jdid,"Pharmacie Bab Jdid, polyclinique kouto... ",052443...,Ouarzazate
64,Pharmacie Kenza,"Pharmacie Kenza, 299, massira 3 lettre... ",052449...,Ouarzazate
65,Pharmacie Oum Rabii,"Pharmacie Oum Rabii, massira 3 bloc c ... ",052434...,Ouarzazate
66,Pharmacie Al Ihssane,"Pharmacie Al Ihssane, 39, dar al bir w... ",052430...,Ouarzazate
67,Pharmacie Qaryia Syahyia,"Pharmacie Qaryia Syahyia, Qaria Syahia... ",052430...,Ouarzazate
68,Pharmacie Fleming,"Pharmacie Fleming, derrière le cimeti... ",052442...,Ouarzazate
69,Pharmacie Al Hamd,"Pharmacie Al Hamd, 251, Lot. Zerktouni... ",052436...,Ouarzazate
70,Pharmacie Maghreb,"Pharmacie Maghreb, 8, Rue Ibn Khaldoun... ",052444...,Ouarzazate
71,Pharmacie Alousra,"Pharmacie Alousra, 661  Hay M'hamid 2 ... ",052437...,Ouarzazate
72,Pharmacie Abdelkarim ElKhattabi,"Pharmacie Abdelkarim ElKhattabi, 154  ... ",052443...,Nador
73,Pharmacie Oumaima,"Pharmacie Oumaima, 506, Lot. Socoma de... ",052449...,Nador
74,Pharmacie Du Golf,"Pharmacie Du Golf, 10/11, souk r’bii... ",052440...,Nador
75,Pharmacie Hay Assanoubar,"Pharmacie Hay Assanoubar, 460, Hay Ass... ",052435...,Nador
76,Pharmacie Al Amana,"Pharmacie Al Amana, 78, douar ouled el... ",052432...,Nador
77,Pharmacie Chair ElHamra,"Pharmacie Chair ElHamra, 36  rue Abou ... ",052430...,Nador
78,Pharmacie Zohour,"Pharmacie Zohour, Zohour 2 Aïn Itti d... ",052432...,Nador
79,Pharmacie Bismi Allah,"Pharmacie Bismi Allah, de Mc Do rte de... ",052503...,Nador
80,Pharmacie Maniss,"Pharmacie Maniss, 12, merstane3 merchi... ",052430...,Nador
