,nam,address,telephone,city
0,Pharmacie El Wafa,"Pharmacie El Wafa, 25 bis, bd abderrah... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
1,Pharmacie Cadi Ben Driss,"Pharmacie Cadi Ben Driss, hay dakhla, ... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
2,Pharmacie Chadia,"Pharmacie Chadia, lotiss. mohammadia, ... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
3,Pharmacie Al Haad,"Pharmacie Al Haad, anza al oulya imm9 ... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
4,Pharmacie Amrani,"Pharmacie Amrani, n°1, parcelle 1843,... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
5,Pharmacie Nisrine,"Pharmacie Nisrine, 58, hay bensergao, ... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
6,Pharmacie Tikida,"Pharmacie Tikida, hay al houda, imm. t... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
7,Pharmacie El Hassania,"Pharmacie El Hassania, 56  lotiss. has... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
8,Pharmacie Ouahbi,"Pharmacie Ouahbi, 56, rue al wahda al ... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
9,Pharmacie Valtur,"Pharmacie Valtur, 1, secteur touristiq... ","[<span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052822...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052828...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052832...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052820...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052823...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>, <span style=""font-weight: bold; color:#1e6dab"" title=""Appelle-nous"">052882...</span>]",Agadir
